file_count,pass_type,run,elapsed_ms
5,first_pass,1,4866
5,first_pass,2,4155
5,first_pass,3,4078
5,second_pass,1,133
5,second_pass,2,122
5,second_pass,3,121
10,first_pass,1,7317
10,first_pass,2,7465
10,first_pass,3,7225
10,second_pass,1,215
10,second_pass,2,223
10,second_pass,3,214
20,first_pass,1,14809
20,first_pass,2,14783
20,first_pass,3,14100
20,second_pass,1,412
20,second_pass,2,418
20,second_pass,3,410
30,first_pass,1,21018
30,first_pass,2,20982
30,first_pass,3,23130
30,second_pass,1,589
30,second_pass,2,615
30,second_pass,3,592
50,first_pass,1,34839
50,first_pass,2,34821
50,first_pass,3,34840
50,second_pass,1,1012
50,second_pass,2,969
50,second_pass,3,1002
75,first_pass,1,53102
75,first_pass,2,52870
75,first_pass,3,54817
75,second_pass,1,1504
75,second_pass,2,1513
75,second_pass,3,1561
100,first_pass,1,71525
100,first_pass,2,71565
100,second_pass,1,1909
100,second_pass,2,1935
